Marca;Cilindros;Potencia (HP);Tamaño (L);R. Ciudad (km/l);R. Carr. (km/l);R. Comb. (km/l);R. Ajust. (km/l);CO2(g/km);Calificación Gas Ef. Inv.
CHEVROLET;4;140;1,8;12,58;21,11;16,76;12,57;185;7
CHEVROLET;4;140;1,8;12,5;18,88;14,75;11,06;211;7
CHEVROLET;4;140;1,8;12,5;18,88;14,75;11,06;211;7
CHEVROLET;4;140;1,8;12,5;18,88;14,75;11,06;211;7
CHEVROLET;4;140;1,8;12,5;18,88;14,75;11,06;211;7
SUBARU;4;249;2;12,5;17,2;14,25;10,69;218;6
SUBARU;4;249;2;12,5;17,2;14,25;10,69;218;6
CHEVROLET;4;140;1,8;12,5;18,88;14,74;11,06;211;7
BUICK;4;138;1,4;12,5;20,67;15,2;11,4;204;7
BUICK;4;138;1,4;12,5;20,67;15,2;11,4;204;7
SUBARU;4;250;2;12,5;16,4;14;10,5;222;6
SUBARU;4;250;2;12,5;16,4;14;10,5;222;6
AUDI;4;220;2;12,5;18,5;14,64;10,98;212;6
AUDI;4;220;2;12,5;18,5;14,64;10,98;212;6
CHEVROLET;4;140;1,8;12,46;21,82;15,44;11,58;201;7
CHEVROLET;4;140;1,8;12,46;21,82;16,83;12,62;185;7
HYUNDAI;4;155;2;12,45;18,61;14,63;10,97;213;6
HYUNDAI;4;155;2;12,45;18,61;16,02;12,02;194;7
KIA;4;151;2;12,43;17,62;14,33;10,75;217;6
NISSAN;4;166;2,5;12,4;16,5;15,36;11,52;202;7
NISSAN;4;166;2,5;12,4;16,5;15,36;11,52;202;7
NISSAN;4;166;2,5;12,4;16,5;15,36;11,52;202;7
RENAULT;4;133;2;12,3;18,4;15,85;11,89;196;7
RENAULT;4;133;2;12,3;18,4;15,85;11,89;196;7
VW;4;160;1,4;12,3;18,2;14,4;10,8;216;6
KIA;4;181;2,4;12,3;18,5;15,88;11,91;196;7
AUDI;4;211;2;12,25;17,62;14,2;10,65;219;6
KIA;4;185;2,4;12,25;17,46;15,54;11,66;200;7
KIA;4;185;2,4;12,25;17,46;15,54;11,66;200;7
NISSAN;4;170;2,5;12,2;16,3;13,76;10,32;226;6
NISSAN;4;170;2,5;12,2;16,3;13,76;10,32;226;6
NISSAN;4;170;2,5;12,2;16,3;13,76;10,32;226;6
AUDI;4;211;2;12,2;17,8;14,21;10,66;219;6
HYUNDAI;4;152;2;12,16;17,14;13,99;10,49;222;6
HYUNDAI;4;152;2;12,16;17,14;13,99;10,49;222;6
HYUNDAI;4;152;2;12,16;17,14;15,38;11,54;202;7
FORD;4;125;2,2;12,16;14,85;14,63;10,97;244;5
FORD;4;125;2,2;12,16;14,85;14,63;10,97;244;5
FORD;4;125;2,2;12,16;14,85;14,63;10,97;244;5
FORD;4;125;2,2;12,16;14,85;14,63;10,97;244;5
FORD;4;125;2,2;12,16;14,85;14,63;10,97;244;5
FORD;4;125;2,2;12,16;14,85;14,63;10,97;244;5
FORD;4;125;2,2;12,16;14,86;14,63;10,97;244;5
FORD;4;125;2,2;12,16;14,86;14,63;10,97;244;5
LINCOLN;4;240;2;12,11;19,81;16,07;12,05;193;7
VW;4;160;1,4;12,1;17,8;14,14;10,6;220;6
VW;4;138;2;12,1;17,2;15,36;11,52;233;6
VW;4;140;2;12,1;17,2;15,36;11,52;233;6
VW;4;140;2;12,1;17,2;15,36;11,52;233;6
VW;4;140;2;12,1;17,2;15,36;11,52;233;6
VW;4;160;1,4;12,1;19,6;14,62;10,96;213;6
VW;4;140;2;12,1;17,2;15,36;11,52;233;6
VW;4;138;2;12,1;17,2;15,36;11,52;233;6
VW;4;180;2;12,1;17,4;15,42;11,56;232;6
VW;4;140;2;12,1;17,2;15,36;11,52;233;6
VW;4;140;2;12,1;17,2;15,36;11,52;233;6
VW;4;138;2;12,1;17,2;15,36;11,52;233;6
VW;4;180;2;12,1;17,4;15,42;11,56;232;6
VW;4;140;2;12,1;17,2;15,36;11,52;233;6
FORD;4;144;2;12,02;17,43;15,37;11,53;202;7
FORD;4;144;2;12,01;17,28;15,31;11,49;203;7
KIA;4;153;2;12,01;17,9;15,49;11,62;201;7
FORD;4;170;2,5;12;16,4;13,65;10,24;228;6
FORD;4;170;2,5;12;16,4;13,65;10,24;228;6
FORD;4;144;2;12;17,1;15,25;11,44;204;7
PORSCHE;6;245;3;12;18,95;15,77;11,82;227;6
FORD;4;144;2;11,99;17,26;15,3;11,47;203;7
KIA;4;151;2;11,99;17,07;13,84;10,38;225;6
JEEP;4;172;2,4;11,93;13,6;12,63;9,47;246;5
JEEP;4;172;2,4;11,93;13,6;12,63;9,47;246;5
RENAULT;4;133;2;11,9;17,9;15,41;11,56;202;7
RENAULT;4;133;2;11,9;17,9;15,41;11,56;202;7
RENAULT;4;115;2;11,9;17,9;15,41;11,56;232;6
HYUNDAI;4;152;2;11,85;16,28;13,5;10,13;230;6
HYUNDAI;4;152;2;11,85;16,28;13,5;10,13;230;6
HYUNDAI;4;152;2;11,85;16,28;14,9;11,17;209;7
JEEP;4;165;2,4;11,81;15,63;13,27;9,95;234;6
JEEP;4;172;2,4;11,81;15,63;13,27;9,95;234;6
JEEP;4;172;2,4;11,81;15,63;13,27;9,95;234;6
FORD;4;170;2,5;11,8;16,8;13,62;10,22;228;6
NISSAN;4;166;2,5;11,8;15,6;14,64;10,98;212;6
NISSAN;4;166;2,5;11,8;15,6;14,64;10,98;212;6
FORD;4;170;2,5;11,8;16,8;13,62;10,22;228;6
SUBARU;4;170;2,5;11,8;17,2;13,74;10,31;226;6
NISSAN;4;166;2,5;11,8;15,6;14,64;10,98;212;6
AUDI;4;170;2;11,8;18,79;14,17;10,63;219;6
AUDI;4;170;2;11,8;18,9;14,2;10,65;219;6
PORSCHE;6;245;3;11,8;18,5;15,49;11,62;231;6
AUDI;6;245;3;11,76;17,36;15,15;11,36;236;5
HYUNDAI;4;152;2;11,75;16,77;13,58;10,18;229;6
HYUNDAI;4;152;2;11,74;16,77;13,57;10,18;229;6
HYUNDAI;4;152;2;11,74;16,77;14,96;11,22;208;7
KIA;4;153;2;11,72;18,08;15,32;11,49;203;7
AUDI;6;245;3;11,7;17,4;15,12;11,34;236;5
FORD;4;240;2;11,7;17,7;13,81;10,35;225;6
FORD;4;240;2;11,7;17,7;13,81;10,35;225;6
HONDA;4;188;2,4;11,7;17,5;15,14;11,36;205;7
HONDA;4;188;2,4;11,7;17,5;15,14;11,36;205;7
HONDA;4;188;2,4;11,7;17,5;15,14;11,36;205;7
HONDA;4;188;2,4;11,7;17,5;15,14;11,36;205;7
HONDA;4;188;2,4;11,7;17,5;15,14;11,36;205;7
FORD;4;240;2;11,66;17,71;15,17;11,38;205;7
JEEP;4;172;2,4;11,66;17,07;13,6;10,2;229;6
JEEP;4;172;2,4;11,66;17,07;13,6;10,2;229;6
JEEP;4;172;2,4;11,66;17,07;13,6;10,2;229;6
FORD;4;144;2;11,64;17,28;15,04;11,28;207;7
FORD;4;168;2,5;11,63;18,61;15,39;11,54;202;7
AUDI;6;245;3;11,63;14,93;14,3;10,73;250;5
AUDI;6;240;3;11,63;14,93;14,3;10,73;250;5
FORD;4;144;2;11,62;17,41;15,06;11,3;206;7
NISSAN;4;170;2,5;11,6;15,3;13,02;9,76;239;5
NISSAN;4;170;2,5;11,6;15,3;13,02;9,76;239;5
NISSAN;4;170;2,5;11,6;15,3;13,02;9,76;239;5
JEEP;4;172;2,4;11,6;17;14,93;11,2;208;7
AUDI;4;225;2;11,6;17,7;13,73;10,3;226;6
FORD;4;168;2,5;11,6;18,6;15,36;11,52;202;7
AUDI;4;225;2;11,6;17,6;13,7;10,28;227;6
AUDI;4;225;2;11,6;17,7;13,73;10,3;226;6
PORSCHE;6;385;4,1;11,6;16,9;14,9;11,17;240;5
PORSCHE;6;385;4,1;11,6;16,9;14,9;11,17;240;5
AUDI;4;225;2;11,58;17,57;13,68;10,26;227;6
CHEVROLET;4;140;1,8;11,55;19,18;14,07;10,55;221;6
KIA;4;175;1,6;11,54;14,38;14,05;10,54;221;6
CHEVROLET;4;140;1,8;11,53;19,2;14,06;10,54;221;6
CHEVROLET;4;140;1,8;11,53;19,2;14,06;10,54;221;6
KIA;4;185;2,4;11,53;16,9;13,45;10,09;231;6
KIA;4;185;2,4;11,53;16,9;13,45;10,09;231;6
FORD;4;168;2,5;11,53;18,27;13,82;10,37;225;6
FORD;4;168;2,5;11,53;18,27;13,82;10,37;225;6
FORD;4;168;2,5;11,53;18,27;13,82;10,37;225;6
VW;4;102;2;11,5;18;15,12;11,34;236;5
VW;4;102;2;11,5;18;15,12;11,34;236;5
VW;4;102;2;11,5;18;15,12;11,34;236;5
LAND ROVER;4;122;2,2;11,5;9;11,57;8,67;309;3
LAND ROVER;4;122;2,2;11,5;9;11,57;8,67;309;3
VW;4;102;2;11,5;18;15,12;11,34;236;5
VW;4;102;2;11,5;18;15,12;11,34;236;5
VW;4;102;2;11,5;18;15,12;11,34;236;5
VW;4;102;2;11,5;18;15,12;11,34;236;5
VW;4;102;2;11,5;18;15,12;11,34;236;5
VW;4;102;2;11,5;18;15,12;11,34;236;5
MERCEDES;4;211;2;11,49;15,38;14,36;10,77;216;6
PORSCHE;6;240;3;11,49;15,15;14,28;10,71;250;5
PORSCHE;6;240;3;11,49;15,15;14,28;10,71;250;5
MAZDA;4;157;2,5;11,4;17,5;13,52;10,14;230;6
PEUGEOT;4;118;1,6;11,36;19,23;15,32;11,49;203;7
PEUGEOT;4;118;1,6;11,36;19,23;15,32;11,49;203;7
PEUGEOT;4;118;1,6;11,36;19,23;15,32;11,49;203;7
TOYOTA;4;180;2,5;11,35;16,11;13,09;9,82;237;6
TOYOTA;4;180;2,5;11,35;16,11;13,09;9,82;237;6
TOYOTA;4;180;2,5;11,35;16,11;13,09;9,82;237;6
TOYOTA;4;180;2,5;11,35;16,11;13,09;9,82;237;6
TOYOTA;4;176;2,5;11,35;16,37;13,17;9,88;236;6
BMW;4;245;2;11,24;14,93;14,03;10,53;222;6
KIA;4;181;2,4;11,24;16,74;14,58;10,94;213;6
MAZDA;4;161;2,5;11,2;17;13,23;9,92;235;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
MAZDA;4;161;2,5;11,2;17;13,23;9,92;235;6
SUBARU;4;170;2,5;11,2;15,8;12,89;9,67;241;5
SUBARU;4;170;2,5;11,2;15,8;12,89;9,67;241;5
SUBARU;4;170;2,5;11,2;15,8;12,89;9,67;241;5
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
HONDA;4;177;2,4;11,2;16,6;13,12;9,84;237;6
VOLVO;4;306;2;11,2;17;13,23;9,92;235;6
BMW;4;245;2;11,2;14,9;14;10,5;222;6
CHEVROLET;4;140;1,8;11,13;18,21;13,49;10,12;230;6
CHEVROLET;4;140;1,8;11,13;18,21;13,49;10,12;230;6
CHEVROLET;4;140;1,8;11,13;18,21;13,49;10,12;230;6
BMW;4;184;2;11,11;16,39;14,38;10,79;216;6
VW;4;200;2;11,1;18,1;13,44;10,08;231;6
VW;4;197;2;11,1;17,9;13,39;10,04;232;6
MAZDA;4;250;2,5;11,1;15,7;12,79;9,59;243;5
BMW;4;184;2;11,1;16,4;14,38;10,78;216;6
NISSAN;6;260;3,5;11;16,1;12,83;9,62;242;5
FORD;4;125;2,2;11;14,5;13,72;10,29;260;5
FORD;4;125;2,2;11;14,5;13,72;10,29;260;5
FORD;4;125;2,2;11;14,5;13,72;10,29;260;5
FORD;4;125;2,2;11;14,5;13,72;10,29;260;5
FORD;4;125;2,2;11;14,5;13,72;10,29;260;5
HYUNDAI;4;190;2,4;11;7,9;10,67;8;291;3
NISSAN;6;260;3,5;11;16,1;12,83;9,62;242;5
HYUNDAI;4;190;2,4;11;7,9;10,67;8;291;3
NISSAN;6;260;3,5;11;16,1;12,83;9,62;242;5
MAZDA;4;250;2,5;11;15,3;12,59;9,44;247;5
JEEP;4;165;2,4;10,96;14,86;12,43;9,32;250;5
GML;4;87;1,3;10,96;16,75;14,37;10,78;216;6
GML;4;87;1,3;10,96;16,75;12,98;9,73;240;5
CHEVROLET;4;182;2,4;10,92;18,66;13,42;10,07;232;6
CHEVROLET;4;182;2,4;10,92;18,66;14,82;11,11;210;7
FORD;4;115;2,2;10,9;13,7;13,38;10,04;267;4
FORD;4;115;2,2;10,9;13,7;13,38;10,04;267;4
FORD;4;115;2,2;10,9;13,7;13,38;10,04;267;4
FORD;4;115;2,2;10,9;13,7;13,38;10,04;267;4
FORD;4;115;2,2;10,9;13,7;13,38;10,04;267;4
BMW;4;184;2;10,9;15,9;14,08;10,56;221;6
SUZUKI;4;164;2,4;10,89;15,26;12,5;9,38;249;5
SUZUKI;4;164;2,4;10,89;15,26;12,5;9,38;249;5
SUZUKI;4;163;2,4;10,89;15,26;12,5;9,38;249;5
SUZUKI;4;163;2,4;10,89;15,26;12,5;9,38;249;5
HYUNDAI;4;240;2;10,82;16,76;12,87;9,65;242;5
MAZDA;4;250;2,5;10,8;15;12,36;9,27;252;5
BMW;4;245;2;10,8;15,9;14,01;10,51;222;6
MITSUBISHI;4;168;2,4;10,76;16,33;12,71;9,53;245;5
MITSUBISHI;4;168;2,4;10,76;16,33;12,71;9,53;245;5
MITSUBISHI;4;168;2,4;10,76;16,33;12,71;9,53;245;5
JEEP;4;172;2,4;10,75;12,2;11,36;8,52;274;4
JEEP;4;172;2,4;10,75;12,2;11,36;8,52;274;4
AUDI;6;240;3;10,75;14,92;13,68;10,26;261;5
JEEP;4;172;2,4;10,75;12,2;11,36;8,52;274;4
BMW;4;245;2;10,75;15,87;13,96;10,47;223;6
BUICK;4;252;2;10,71;15,35;12,4;9,3;251;5
MITSUBISHI;4;165;2,4;10,7;16,3;14,04;10,53;221;6
AUDI;8;240;4,2;10,7;16,2;14,02;10,51;255;5
VW;6;379;3;10,7;14,1;12;9;259;5
AUDI;6;240;3;10,64;14,71;13,53;10,15;264;4
RENAULT;4;100;1,9;10,6;14,6;13,47;10,1;265;4
RENAULT;4;100;1,9;10,6;14,6;13,47;10,1;265;4
VW;4;200;2;10,6;14,5;12,06;9,04;258;5
VW;4;197;2;10,6;14,5;12,06;9,04;258;5
RENAULT;4;100;1,9;10,6;14,6;13,47;10,1;265;4
VW;4;200;2;10,6;14,5;12,06;9,04;258;5
CADILLAC;6;310;3,6;10,54;16,71;12,64;9,48;246;5
AUDI;4;170;2;10,53;16,39;12,55;9,41;248;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
VW;4;102;2;10,53;16,39;13,93;10,45;257;5
JEEP;4;172;2,4;10,52;12,65;12,75;9,56;244;5
MERCEDES;4;150;2,2;10,52;14,92;13,51;10,13;265;4
MERCEDES;4;150;2,2;10,52;14,92;13,51;10,13;265;4
FORD;4;245;2;10,51;16,54;12,57;9,43;247;5
FORD;4;245;2;10,51;16,54;12,57;9,43;247;5
JEEP;4;172;2,4;10,5;12,67;11,38;8,53;273;4
JEEP;4;172;2,4;10,5;12,67;11,38;8,53;273;4
JEEP;4;172;2,4;10,5;12,67;11,38;8,53;273;4
SUBARU;6;256;3,6;10,5;16,2;12,48;9,36;249;5
SUBARU;6;256;3,6;10,5;16,2;12,48;9,36;249;5
AUDI;4;230;2;10,5;14,5;11,99;8,99;259;5
AUDI;4;230;2;10,5;14,5;11,99;8,99;259;5
JEEP;4;172;2,4;10,48;14,47;11,96;8,97;260;5
JEEP;4;172;2,4;10,48;14,47;11,96;8,97;260;5
JEEP;4;172;2,4;10,48;14,47;11,96;8,97;260;5
JEEP;4;172;2,4;10,48;14,47;11,96;8,97;260;5
JEEP;4;172;2,4;10,48;14,47;11,96;8,97;260;5
MERCEDES;4;150;2;10,43;13,07;12,84;9,63;242;5
MERCEDES;4;116;2,1;10,43;13,07;12,84;9,63;278;4
PEUGEOT;4;118;1,6;10,41;16,66;13,91;10,43;223;6
PEUGEOT;4;118;1,6;10,41;16,66;13,91;10,43;223;6
NISSAN;6;260;3,5;10,4;15,69;12,26;9,2;254;5
JEEP;4;172;2,4;10,4;14,4;13,26;9,95;234;6
AUDI;6;272;3;10,4;15;12,07;9,05;258;5
AUDI;6;272;3;10,4;14,9;12,04;9,03;258;5
AUDI;4;252;2;10,4;16;12,34;9,26;252;5
AUDI;6;272;3;10,4;15;12,07;9,05;258;5
AUDI;4;252;2;10,4;16;12,34;9,26;252;5
CHEVROLET;4;182;2,4;10,4;17,61;12,75;9,56;244;5
CHEVROLET;4;182;2,4;10,4;17,61;12,75;9,56;244;5
CHEVROLET;4;182;2,4;10,4;17,61;14,13;10,6;220;6
CHEVROLET;4;182;2,4;10,4;17,61;14,13;10,6;220;6
AUDI;6;272;3;10,39;14,91;12,03;9,02;258;5
PORSCHE;6;380;3;10,38;12,66;12,66;9,5;245;5
VW;6;333;3;10,38;12,66;12,66;9,5;245;5
VW;6;333;3;10,38;12,66;11,3;8,47;275;4
DODGE;4;173;2,4;10,32;15,64;12,19;9,14;255;5
PORSCHE;6;380;3;10,32;12,66;11,26;8,44;276;4
FORD;4;145;2;10,3;14,4;13,19;9,89;236;6
HONDA;4;175;2,4;10,3;14,5;11,84;8,88;262;4
HONDA;4;175;2,4;10,3;14,5;11,84;8,88;262;4
HONDA;4;175;2,4;10,3;14,5;11,84;8,88;262;4
HONDA;4;175;2,4;10,3;14,5;11,84;8,88;262;4
HONDA;4;175;2,4;10,3;14,5;11,84;8,88;262;4
FORD;4;145;2;10,3;14,4;13,19;9,89;236;6
NISSAN;6;260;3,5;10,3;17,8;12,71;9,53;245;5
PORSCHE;6;380;3;10,3;12,65;12,61;9,46;247;5
NISSAN;6;260;3,5;10,3;17,8;12,71;9,53;245;5
NISSAN;6;260;3,5;10,3;17,8;12,71;9,53;245;5
SUZUKI;4;163;2,4;10,3;14,7;11,9;8,93;261;5
SUZUKI;4;163;2,4;10,3;14,7;11,9;8,93;261;5
SUZUKI;4;163;2,4;10,3;14,7;11,9;8,93;261;5
NISSAN;6;260;3,5;10,27;17,83;12,69;9,52;245;5
LINCOLN;4;240;2;10,24;15,3;12,03;9,02;258;5
FORD;6;240;3;10,2;14,8;11,86;8,89;262;4
MERCURY;6;240;3;10,2;14,8;11,86;8,89;262;4
MERCURY;6;240;3;10,2;14,8;11,86;8,89;262;4
FORD;6;240;3;10,2;14,8;11,86;8,89;262;4
VW;4;102;2;10,2;14,6;13,18;9,88;271;4
DODGE;4;173;2,4;10,2;14,6;11,8;8,85;263;4
DODGE;4;173;2,4;10,2;14,6;11,8;8,85;263;4
DODGE;4;173;2,4;10,2;14,6;11,8;8,85;263;4
DODGE;4;173;2,4;10,2;14,6;11,8;8,85;263;4
HYUNDAI;4;190;2,4;10,2;7,3;9,94;7,46;313;3
DODGE;4;173;2,4;10,2;14,6;13,18;9,88;236;6
HYUNDAI;4;190;2,4;10,2;7,3;9,94;7,46;313;3
DODGE;4;173;2,4;10,2;14,6;11,8;8,85;263;4
VW;4;200;2;10,2;14,9;11,89;8,92;262;4
CHEVROLET;4;182;2,4;10,18;17,35;12,51;9,38;249;5
CHEVROLET;4;182;2,4;10,18;17,35;12,51;9,38;249;5
DODGE;4;173;2,4;10,18;14,57;11,78;8,83;264;4
DODGE;4;173;2,4;10,18;14,57;11,78;8,83;264;4
JEEP;4;172;2,4;10,11;14,28;11,64;8,73;267;4
JEEP;4;172;2,4;10,11;14,28;11,64;8,73;267;4
JEEP;4;172;2,4;10,11;14,28;11,64;8,73;267;4
JEEP;4;172;2,4;10,11;14,28;11,64;8,73;267;4
CHEVROLET;4;169;2,4;10,1;16,69;12,28;9,21;253;5
SUBARU;4;224;2,5;10,1;13,9;11,52;8,64;270;4
PORSCHE;6;300;3,6;10,1;14,7;11,76;8,82;264;4
PORSCHE;6;300;3,6;10,1;14,7;11,76;8,82;264;4
HYUNDAI;6;290;3,3;10,06;15,4;11,92;8,94;261;5
HYUNDAI;6;290;3,3;10,06;15,4;11,92;8,94;261;5
CHEVROLET;4;182;2,4;10,02;17,09;12,31;9,23;253;5
CHEVROLET;4;182;2,4;10,02;17,09;12,31;9,23;253;5
MAZDA;4;184;2,5;10;17,4;13,75;10,31;226;6
MAZDA;4;184;2,5;10;17,4;13,75;10,31;226;6
SUZUKI;4;163;2,4;10;13,8;11,41;8,56;272;4
SUZUKI;4;163;2,4;10;13,8;11,41;8,56;272;4
SUZUKI;4;163;2,4;10;13,8;11,41;8,56;272;4
HONDA;4;184;2,4;10;16,6;13,56;10,17;229;6
SUZUKI;4;166;2,4;9,95;13,73;11,36;8,52;274;4
SUZUKI;4;166;2,4;9,95;13,73;11,36;8,52;274;4
SUZUKI;4;163;2,4;9,95;13,73;11,36;8,52;274;4
SUZUKI;4;163;2,4;9,95;13,73;11,36;8,52;274;4
FORD;6;285;3,5;9,92;15,95;11,96;8,97;260;5
JEEP;4;184;2,4;9,92;14,98;11,7;8,77;266;4
JEEP;4;184;2,4;9,92;14,98;11,7;8,77;266;4
JEEP;4;184;2,4;9,92;14,98;11,7;8,77;266;4
JEEP;4;184;2,4;9,92;14,98;11,7;8,77;266;4
VW;4;200;2;9,91;16,29;12,03;9,02;258;5
VW;4;200;2;9,91;16,29;12,03;9,02;258;5
VW;4;200;2;9,91;16,29;12,03;9,02;258;5
VW;4;200;2;9,91;16,29;12,03;9,02;258;5
VW;4;200;2;9,91;16,29;12,03;9,02;258;5
VW;4;200;2;9,91;16,29;12,03;9,02;258;5
FORD;6;305;3,7;9,9;15,2;11,74;8,81;265;4
FORD;6;305;3,7;9,9;15,2;11,74;8,81;265;4
FORD;6;305;3,7;9,9;15,2;11,74;8,81;265;4
JEEP;4;184;2,4;9,9;14,9;13,04;9,78;238;5
VW;4;200;2;9,9;16,13;11,98;8,99;259;5
VW;4;200;2;9,9;16,13;11,98;8,99;259;5
FORD;4;168;2,5;9,8;11,9;12;9;259;5
MAZDA;4;184;2,5;9,8;15,9;13,22;9,92;235;6
VW;4;180;2;9,8;14,5;12,85;9,63;278;4
MAZDA;4;184;2,5;9,8;15,9;13,22;9,92;235;6
LINCOLN;4;275;2,3;9,79;15,36;11,7;8,77;266;4
KIA;6;290;3,3;9,77;15,81;11,8;8,85;263;4
KIA;6;290;3,3;9,77;15,81;11,8;8,85;263;4
KIA;6;290;3,3;9,77;15,81;11,8;8,85;263;4
LINCOLN;4;240;2;9,72;15,26;11,62;8,71;268;4
FORD;6;285;3,5;9,7;15,2;11,59;8,69;268;4
FORD;6;285;3,5;9,7;15,2;11,59;8,69;268;4
FORD;4;240;2;9,7;15,2;11,59;8,69;268;4
FORD;6;285;3,5;9,7;15,2;11,59;8,69;268;4
FORD;4;125;2,2;9,7;14,1;12,65;9,49;282;4
LINCOLN;4;275;2,3;9,7;15,7;13,09;9,82;237;6
HONDA;4;185;2,4;9,7;15,6;13,06;9,8;238;6
HONDA;4;185;2,4;9,7;15,6;13,06;9,8;238;6
HONDA;4;185;2,4;9,7;15,6;13,06;9,8;238;6
HONDA;4;185;2,4;9,7;15,6;13,06;9,8;238;6
AUDI;6;333;3;9,7;14,4;11,37;8,53;273;4
AUDI;6;333;3;9,7;14,4;11,37;8,53;273;4
CADILLAC;6;265;3;9,65;14,67;11,41;8,55;273;4
CADILLAC;6;308;3,6;9,65;14,67;11,41;8,55;273;4
MERCEDES;4;150;2,1;9,64;11,93;11,91;8,93;300;3
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;125;2,2;9,63;15,36;12,94;9,71;276;4
FORD;4;145;2;9,6;13,2;12,3;9,23;253;5
MAZDA;4;244;2,3;9,6;14,5;11,32;8,49;275;4
NISSAN;6;235;3,5;9,6;13,8;11,12;8,34;279;4
NISSAN;6;235;3,5;9,6;13,8;11,12;8,34;279;4
FORD;4;145;2;9,6;13,2;12,3;9,23;253;5
MAZDA;4;244;2,3;9,6;14,5;11,32;8,49;275;4
NISSAN;6;235;3,5;9,6;13,8;11,12;8,34;279;4
INFINITI;6;265;3,5;9,6;14,5;11,32;8,49;275;4
INFINITI;6;265;3,5;9,6;13,6;11,06;8,3;281;4
NISSAN;6;235;3,5;9,6;13,8;11,12;8,34;279;4
VW;4;138;2;9,6;13,6;12,43;9,32;288;3
VW;4;138;2;9,6;13,6;12,43;9,32;288;3
AUDI;6;354;3;9,6;14,8;11,4;8,55;273;4
AUDI;6;354;3;9,6;14,6;11,35;8,51;274;4
AUDI;6;354;3;9,6;14,8;11,4;8,55;273;4
NISSAN;6;235;3,5;9,5;13,5;10,96;8,22;284;4
NISSAN;6;235;3,5;9,5;13,5;10,96;8,22;284;4
NISSAN;6;235;3,5;9,5;13,5;10,96;8,22;284;4
NISSAN;6;235;3,5;9,5;13,5;10,96;8,22;284;4
FORD;6;290;3,5;9,5;15,1;11,4;8,55;273;4
GMC;6;310;3,6;9,44;14,84;11,29;8,46;275;4
GMC;6;310;3,6;9,44;14,84;11,29;8,46;275;4
AUDI;4;211;2;9,43;13,33;12,22;9,17;254;5
AUDI;4;211;2;9,43;13,33;12,22;9,17;254;5
BMW;6;306;3;9,4;14,5;12,53;9,4;248;5
FORD;6;280;3,5;9,39;16,01;11,54;8,65;269;4
FORD;6;280;3,5;9,39;16,01;11,54;8,65;269;4
FORD;6;280;3,5;9,39;16,01;11,54;8,65;269;4
BMW;6;306;3;9,35;14,49;12,49;9,37;249;5
PEUGEOT;4;154;1,6;9,34;16,66;13,02;9,76;239;5
FORD;6;290;3,5;9,3;14,8;11,17;8,38;278;4
FORD;6;290;3,5;9,3;14,8;11,17;8,38;278;4
MAZDA;6;273;3,7;9,3;14,3;11,04;8,28;282;4
SUBARU;6;256;3,6;9,3;14,6;11,12;8,34;280;4
FORD;6;290;3,5;9,3;14,8;11,17;8,38;278;4
MAZDA;6;273;3,7;9,3;14,4;11,06;8,3;281;4
NISSAN;4;127;2,5;9,3;14,3;12,4;9,3;288;3
MAZDA;6;273;3,7;9,3;14,4;11,06;8,3;281;4
FORD;6;290;3,5;9,3;14,8;11,17;8,38;278;4
NISSAN;4;127;2,5;9,3;14,3;12,4;9,3;288;3
NISSAN;4;127;2,5;9,3;14,3;12,4;9,3;288;3
NISSAN;4;127;2,5;9,3;14,3;12,4;9,3;288;3
JEEP;6;271;3,2;9,27;14,75;11,13;8,35;279;4
MERCEDES;4;150;2,1;9,27;11,52;11,5;8,63;311;3
CHEVROLET;6;264;3;9,27;14,39;11,04;8,28;282;4
CADILLAC;6;310;3,6;9,27;15,86;11,4;8,55;273;4
FIAT;4;120;2,3;9,25;10,9;11,26;8,45;317;2
